       200		    15,544		0,05		     0,046
       100		    16,505		0,10		     0,093
        66		    17,424		0,15		     0,140
        50		    18,540		0,20		     0,181
        40		    19,860		0,25		     0,224
        33		    21,111		0,30		     0,273
        28		    22,436		0,35		     0,314
        25		    24,166		0,40		     0,361
        22		    25,790		0,45		     0,406
        20		    28,081		0,50		     0,435
        18		    30,108		0,55		     0,482
        16		    33,942		0,60		     0,547
        15		    35,251		0,65		     0,576
        14		    38,413		0,70		     0,608
        13		    42,382		0,75		     0,649
        12		    45,993		0,80		     0,684
        11		    55,561		0,85		     0,733
        11		    54,254		0,90		     0,740
        10		    63,317		0,95		     0,761
