       200		    17,097		0,05		     0,045
       100		    18,291		0,10		     0,090
        66		    19,938		0,15		     0,137
        50		    21,044		0,20		     0,181
        40		    22,265		0,25		     0,226
        33		    24,185		0,30		     0,271
        28		    26,693		0,35		     0,316
        25		    28,017		0,40		     0,353
        22		    30,772		0,45		     0,406
        20		    32,777		0,50		     0,437
        18		    38,082		0,55		     0,495
        16		    42,061		0,60		     0,546
        15		    45,370		0,65		     0,576
        14		    50,601		0,70		     0,612
        13		    54,680		0,75		     0,645
        12		    65,148		0,80		     0,673
        11		    76,643		0,85		     0,678
        11		    72,766		0,90		     0,696
        10		    81,377		0,95		     0,704
